,en_text,fa_text,LLM_translation
0,how about a librarian? they're cool.,نظرت درمورد کتابدار چیه؟ خیلی خوبن,نظرت درباره یک کتابدار چیه؟ اونا باحالن..
1,"i'm sorry miss kamen, but i can't do that.",خانم کمین ببخشید ولی نمیشه,متاسفم خانم کامن، ولی نمی‌تونم این کارو بکنم.
2,cloud microphysics. - guys.,میکروفیزیک ابر - بچه‌ها -,ریزفیزیک ابرها. - بچه‌ها
3,they're skating. - and someone complained?,- اونا اسکیت بازی میکنن - و کسی شکایت کرده؟,اون‌ها دارن اسکیت بازی می‌کنن. - و یکی شکایت کرده؟
4,can you tell me what's going on?,میشه بهم بگی چه خبره؟,میشه بهم بگی چه خبره؟
5,just keep the baby instead?,بچه رو به جاش نگه دارم؟,مگه بچه رو نگه نمی‌داریم؟
6,let's get our data.,بریم داده‌هامون رو جمع کنیم,بیا داده‌هامون رو برداریم.
7,"it's been fun though, right?",ولی خوش گذشت. نه؟,آره ولی خوش گذشت، نه؟
8,grapefruit!,! گریپ‌فروت‌ه,گریپ‌فروت!
9,of course.,حتما,البته..
10,"well, they use the earth portal.",خب، از پورتال (= دروازه) زمینی استفاده میکنن,خب، اونا از درگاه زمین استفاده می‌کنن..
11,"dad, i don't wanna go.",بابا، نمیخوام برم,بابا، نمی‌خوام برم...
12,and we look stupid.,و ما مثل احمق‌ها جلوه می‌کنیم,و احمق به نظر میایم...
13,your purposes. your meanings of life. so basic.,هدف تو، معنی زندگیته خیلی ساده,هدفت. معنی زندگیت. خیلی ابتدایی...
14,"kate, this is... this is marshall riggs.",کیت، ایشون …ایشون مارشال ریگز هستن,کِیت، این... این مارشال ریگزه.
15,whoa! hey!,اوه، هی,وای!هی!
16,where? - fox crest condo complex. it's really good money.,کجا؟ - «مجتمع» فاکس کریستی کوندو- واقعا پول خوبی معدن,کجا؟ - مجتمع آپارتمانی فاکس کرست. پولش خیلی خوبه.
17,"keep going! all right, you got her?",! برید - خیلی‌خب، گرفتیش؟ -,ادامه بده! خب، بهش رسیدی؟
18,this is a piece of chandelier. this is a crystal.,. این یه قسمت از لوستره این یه کریستاله,این یه تیکه از چلچراغه. اینم کریستاله.
19,do you have anything that can help us?,چیزی داری که به کمک‌مون بیاد؟,چیزی داری که بتونه کمکمون کنه؟
20,maybe you will find their spark,شاید شما بتونید جرقه شون رو پیدا کنید,شاید جرقه‌شونو پیدا کنی.
21,whoa!,! وای,ای بابا!
22,"oh, yeah, thanks. thanks, man.",اوه، اره، ممنون ممنون مرد,آره، مرسی. مرسی، داداش.
23,jovan talked some guy into buying the moon for him.,جوان یکی رو راضی کرد براش ماه بهره,جووان یه نفر رو راضی کرد که ماه رو براش بخره.
24,kate!,! کیت,کیت!
25,we made it! this is going to work.,ما توانستیم داریم موفق میشیم,ما موفق شدیم! این قراره جواب بده.
26,"that belong in the back of the mind,",جاش ته ذهنه,که ته ذهن آدم می‌مونه.
27,"oh, jesus.",ای خدا,وای، عیسی...
28,"come on, come on! you got to go! it's here!",! زودباشید، زودباشید! باید برید! گردباد رسید,بدو، بدو! باید بری! اومده!
29,you are not all that.,انقدر هم خوب نیستی,تو اونقدرها هم عالی نیستی.
30,"well, maybe,",خوب شاید,"خب، شاید,."
31,"riley, what are you talking about?",رایلی، از چی حرف می‌زنی؟,رایلی، چی میگی؟
32,"well, actually, that does sound kinda nice.",راستش ایده‌ی خوبیه,خب، راستش، این یه جورایی خوب به نظر میاد..
33,"i'm sorry. what was that, officer?",ببخشید چه گفتن جناب افسر؟,ببخشید، چی گفتین، آقای پلیس؟
34,we show them we're a fire hawk who will do whatever it takes.,بهشون نشون می‌دیم ما شاهین اتشینی هستیم که هرکاری لازم باشه می‌کنیم,بهشون نشون می‌دیم که ما یه شاهین آتیشی هستیم و هر کاری لازم باشه انجام می‌دیم.
35,"turns out, there's more to this story than i thought.",ظاهرا داستان از اون چیزی که فکر می‌کردم، پیچیده‌تره,انگار قضیه بیشتر از اونیه که فکر می‌کردم..
36,"well, didn't throw you off the scent.",خب، تو رو گمراه نکردم که,خب، گولت نزد؟
37,hi. - he's okay.,سلام- خوبه-,سلام. - خوبه.
38,maybe i will. - wonderful.,شاید بکنم - عالیه -,شاید انجام بدم. - عالیه..
39,what? -she knows better than that.,چی؟ - اون عاقل‌تر از این حرف‌هاست -,چی؟ - اون بهتر از اینا می‌دونه.
40,"and you lean on me, 'cause i'm gonna take you.",",و بهم تکیه کن. چونکه میبرمت",به من تکیه کن، چون می‌خوام تورو ببرم...
41,"you know, life and all.",می‌دونی، به‌خاطر زندگی و مشکلات,می‌دونی، زندگی و این چیزا..
42,this is the moment where i fell in love with jazz.,این لحظه‌ای بود که من عاشق موسیقی جاز شدم,این لحظه‌ای بود که عاشق جَز شدم..
43,remember leigh had all these plans about getting married under the arbor?,یادت میاد لی اون همه نقشه برای ازدواج زیر این تاکستان رو؟,یادت هست لی کلی برنامه داشت که زیر سقف گل ازدواج کنه؟
44,yep. i'm aware.,اره، خبر دارم,آره، می‌دونم..
45,subtitles by explosiveskull,: ترجمه از Overhaul,زیرنویس‌ها از explosiveskull.
46,no way! i am not moving!,! نمیشه! من از اینجا تکون نمی‌خورم,عمراً! من تکون نمی‌خورم!
