,en_text,fa_text,T5_translation
0,how about a librarian? they're cool.,نظرت درمورد کتابدار چیه؟ خیلی خوبن,نظریه در مورد کتابخانه چیست؟ خیلی خوبم.
1,"i'm sorry miss kamen, but i can't do that.",خانم کمین ببخشید ولی نمیشه,خانم کوین لطفا ولی ممکن نیست
2,cloud microphysics. - guys.,میکروفیزیک ابر - بچه‌ها -,چشمه ی کرم سیک - بچه ها -
3,they're skating. - and someone complained?,- اونا اسکیت بازی میکنن - و کسی شکایت کرده؟,- بازی اسکیت نشان می دهد- و کسانی شکست خوردند؟
4,can you tell me what's going on?,میشه بهم بگی چه خبره؟,آیا می تواند به عنوان خبردار به من بگوید؟
5,just keep the baby instead?,بچه رو به جاش نگه دارم؟,بچه را به جاش نگه می دارم؟
6,let's get our data.,بریم داده‌هامون رو جمع کنیم,صفحه های داده را جمع می کنیم
7,"it's been fun though, right?",ولی خوش گذشت. نه؟,اما خوشحال شدم. نه؟
8,grapefruit!,! گریپ‌فروت‌ه,! گریپ فروتن
9,of course.,حتما,حتما
10,"well, they use the earth portal.",خب، از پورتال (= دروازه) زمینی استفاده میکنن,خوب، از دفتر مرکزی (= درویدا) زمین ها استفاده می
11,"dad, i don't wanna go.",بابا، نمیخوام برم,پدر، نمی خواهم برم
12,and we look stupid.,و ما مثل احمق‌ها جلوه می‌کنیم,و ما مثل احمقها به جلو می رویم
13,your purposes. your meanings of life. so basic.,هدف تو، معنی زندگیته خیلی ساده,هدف تو، یعنی زندگی خیلی ساده است
14,"kate, this is... this is marshall riggs.",کیت، ایشون …ایشون مارشال ریگز هستن,نشانه ی کینه، اونا ... ملکه مارشال ریف هست
15,whoa! hey!,اوه، هی,آه، هی
16,where? - fox crest condo complex. it's really good money.,کجا؟ - «مجتمع» فاکس کریستی کوندو- واقعا پول خوبی معدن,کجا؟ - «مجتمع» - «آبوک کرسی کود» 
17,"keep going! all right, you got her?",! برید - خیلی‌خب، گرفتیش؟ -,برید- خیلی خوب، گرفته -
18,this is a piece of chandelier. this is a crystal.,. این یه قسمت از لوستره این یه کریستاله,این قسمتی از لوستریستا این قسمت از گروه گروه گروه
19,do you have anything that can help us?,چیزی داری که به کمک‌مون بیاد؟,چیزی که برای کمک به مون بینگ وجود دارد؟
20,maybe you will find their spark,شاید شما بتونید جرقه شون رو پیدا کنید,شاید می توانید جرقه ها را پيدا کنید.
21,whoa!,! وای,! بله!
22,"oh, yeah, thanks. thanks, man.",اوه، اره، ممنون ممنون مرد,آه، اره، متشکرم، مرد متشکرم
23,jovan talked some guy into buying the moon for him.,جوان یکی رو راضی کرد براش ماه بهره,جوانی یکی از آن ها نیز برای بیان ماه مورد علاقه
24,kate!,! کیت,! کیسه ی قلب
25,we made it! this is going to work.,ما توانستیم داریم موفق میشیم,ما می توانیم به خاطر اینکه بتوانیم به وفق موفق شویم
26,"that belong in the back of the mind,",جاش ته ذهنه,ذهن درون را جابجا کنید
27,"oh, jesus.",ای خدا,خدای من!
28,"come on, come on! you got to go! it's here!",! زودباشید، زودباشید! باید برید! گردباد رسید,!زود باشید، زود باشید! باید برید! گردباد به
29,you are not all that.,انقدر هم خوب نیستی,خوب نیست.
30,"well, maybe,",خوب شاید,خوب می فهمم
31,"riley, what are you talking about?",رایلی، از چی حرف می‌زنی؟,رایلی، از چه حرفی می زنید؟
32,"well, actually, that does sound kinda nice.",راستش ایده‌ی خوبیه,راستش راه خوبی است
33,"i'm sorry. what was that, officer?",ببخشید چه گفتن جناب افسر؟,ببخشید چه حرفی از طرف جناب افسر زدید؟
34,we show them we're a fire hawk who will do whatever it takes.,بهشون نشون می‌دیم ما شاهین اتشینی هستیم که هرکاری لازم باشه می‌کنیم,به آنها توجهی نداریم. ما هیجانات شاهزاده ی 
35,"turns out, there's more to this story than i thought.",ظاهرا داستان از اون چیزی که فکر می‌کردم، پیچیده‌تره,ظاهرا داستانی از آن چیزی است که من فکر می کنم،
36,"well, didn't throw you off the scent.",خب، تو رو گمراه نکردم که,خوب، من دارم از اینکه
37,hi. - he's okay.,سلام- خوبه-,- خوبه -
38,maybe i will. - wonderful.,شاید بکنم - عالیه -,- عالیجناب -
39,what? -she knows better than that.,چی؟ - اون عاقل‌تر از این حرف‌هاست -,چطور؟ - او بیش از این حرف ها حرف می زند -
40,"and you lean on me, 'cause i'm gonna take you.",",و بهم تکیه کن. چونکه میبرمت",و به هم گوشزد کنید. چون همه چیز را گم کردم
41,"you know, life and all.",می‌دونی، به‌خاطر زندگی و مشکلات,مینسون، به خاطر زندگی و مشکلات
42,this is the moment where i fell in love with jazz.,این لحظه‌ای بود که من عاشق موسیقی جاز شدم,این لحظه بود که من عاشق موسیقی اسپیت شدم
43,remember leigh had all these plans about getting married under the arbor?,یادت میاد لی اون همه نقشه برای ازدواج زیر این تاکستان رو؟,یاد میاد لی نقشه های ازدواج در زیر دموکراسی برای 
44,yep. i'm aware.,اره، خبر دارم,اره، خبر منتشر شده
45,subtitles by explosiveskull,: ترجمه از Overhaul,ترجمه از تعمیرگاه
46,no way! i am not moving!,! نمیشه! من از اینجا تکون نمی‌خورم,!ممکن است! من از اینجا سیر نمی شوم
47,run!,! فرار کن,! فرار کن
48,guys...,…بچه‌ها,چرا؟
49,anchors away!,! لنگر‌ها بالا,! راننده های بالا
50,"remember, we agreed not to make a big deal about this.",یادتون باشه، قرار بود زیادی گنده‌ش نکنیم,خوب، باید کمی فکر کنم که باید فکر کنم
51,"i have, like, 400 from helping my dad around here.",من حدود ۴۰۰ تا برای کمک کردن به پدرم دارم,من حدود ۴۰۰ تا برای کمک به پدر زنم
52,"uh, look, my mom has her own definition of what success is,",اوه ببین، مامانم تعریف خودشو از موفقیت داره,اوه ببین، مامانم از قبول کردن خودش برای قبول کردن
53,truth or dare?,حقیقت یا شجاعت؟,حقیقت یا شجاعت؟
54,how do you know? - how do i know about anything?,از کجا میدونی؟ همونجور که بقیه چیزا رو میدونم,از کجا می دانید؟ همان جور که همه ی این مطالب
55,most people.,اکثر مردم,تعداد بیشتر مردم
56,and for what?,اونم برای چی؟,برای چی؟
57,let's cut these guys off.,بیاید ازشون رد بشیم,اگر از آن ها رد شد، باید زهره ترک شود.
58,"wow. nice work. - well, who is it?",افرین کارت خوب بود - حالا کی هست؟ -,کارت فیس بوک خوب بود- حالا کی هست؟ -
59,do you find that to be true?,به نظرت همینطوره؟,آیا فکر کردن به این شکل نیست؟
60,"listen. - okay,",گوش کن- باشه-,گوش کن- خوبه-
61,what is she doing?,داره چی کار می‌کنه؟,چگونه کار می کند؟
62,what the fuck is wrong with her?,چه مرگشه؟,چه مربوری؟
63,"we're there! -thank you,",حتما میایم - ممنون -,- حتما - متشکرم -
64,and i'll spare the life of the baby.,و از جون بچه می‌گذرم,و از طرف پسر جون گذشته ام
65,you know what that's gonna say? joe gardner!,میدونی میخواد چی بگه؟! جو گاردنر,آیا می دانیم که می گوید چیزی می گوید؟ جو گاردنر
66,hey.,هی,ه
67,todd's gonna stay with me until he finds a place.,تاد «با من میمونه». تا وقتیکه یه جا پیدا کنه,تاد «با من می مونم» تا زمانی که جا پیدا می شود
68,"go, go, go, go, go!",! برو، برو، برو، برو، برو,!بروید، بروید، بروید، بروید، بروید، بروید
69,i'm mixing.,دارم مخلوط می‌کنم,من باید برای رفع مشکلات استفاده کنم
70,"and maybe you can listen to it and tell me to quit after, okay?",و شاید بتونید گوش کنید و بعدش بهم بگید انصراف بدم، باشه؟,و شاید بتوانی به گوش دادن گوش دهی و بعد از آن به
71,"whose mothers smoked weed during utero,",و مادر‌هایی که توی دوران جنینی بچشون علف میکشیدن,و مادرانی که در دوران جنون طفلکی ها پوست پوستشان
72,even better than the cows.,حتی بهتر از گاوها,حتي بهتر از گاوها
73,"[ stammers ] what does this remind me of, mel?",چرا این منو یاد مل «میندازه؟»,چرا این افراد به یاد «میندکا» افتادند؟
74,over my dead flaming body!,مگه از روی جنازه‌م رد شی,آیا از طرف جناح م رد شی
75,look! there i am.,! ببین من اونجام,!من اونجام را ببینید
76,so we gotta chop chop.,پس باید بجنگیم,پس باید جلوگیری کنیم
77,"this bitch keeps fucking around,",اگه این زنیکه مسخره‌بازی شو ادامه بده,اگر این زن نمایش رقص نمایشی ادامه پیدا کند
78,mm-hmm.,اوهوم,اوه، بله.
79,"i mean, you'd have to",…باید,...باید
80,"tornado wranglers. - tornado wranglers, baby.",گردبادکش‌های حرفه‌ای هستیم -! گردبادکش، عزیزم -,- ! آذرخش - عزیزم -
81,"riley, i'm open. pass it, pass it!",. رایلی، من خالی‌ام پاس بده، پاس بده,. رایلی، من خاله ام پاس بده، پاس بده، پاس بده
82,leave her alone.,ولش کنین,لوس کردن
83,now it's your turn to help us.,حالا نوبت شماست که کمک‌مون کنید,حالا نتیجه ی شما این است که کمک مون را به شما می رسان
84,"forget 'em! -no, no, no, i can find her.",بی‌خیال‌شون - نه، می‌تونم پیداش کنم -,- نه، می توانم پیداش کنم.
85,"no, no, no, no.",". نه,نه,نه,نه",نه،نه،نه،نه،نه.
86,we can't let her do this to riley.,نباید بذاریم همچین بلایی سر ریالی بیاره,باید برای حمل کالاهای مختلف نیز برای حمل کالا
87,"we lost your radar, javi. you got eyes on the tornado?",رادار تو رو از دست دادیم حاوی گردباد رو می‌بینی؟,رئیس گروه رئیس جمهوری که توسط گروه افرا مورد
88,you get what it takes to be the best.,تو توانایی درخشیدن رو داری,تو توانایی صدا کردن را داری
89,and she's nice to stray cats.,تازه با گربه‌های ولگرد هم رفتار خوبی داره,رفتار خوبی با گربه ها دارم
90,"i long to be a hero,",من ارزوی قهرمان بودن رو دارم,من قهرمان بودن ارزشمند را دوست دارم
91,"yeah, feels like it's a little sticky. - oh, no.",اره، به‌نظر میاد چسبیده - اوه نه -,اره، به نظر میاد چسبیده است- اوه نه-
92,look at that. look at tintin.,اینو ببین تینتین رو ببین,این یکی میتواند نیشتین را ببیند
93,"uh, mrs. rosenberg had a family vacation on the books",خانم روزنبرگ چندین ماهه که,خانم روزنبرگ چند ماهی که
94,what? you're paranoid.,چی؟ شکاک شدی بابا,چطور؟ - . - پدر زشت و ضعیف 
95,he told me about all those late night meetings,در مورد اون همه جلسات شبانه,در مورد تمام جلسات شبانه
96,"you need a ride to work, you got to get going now.",اگه میخوای با ماشین برسونمت بر سر کار همین الان باید بلند شی,اگر می خواهی با ماشين ماشینی برای کار شروع کنیم، هم
97,"come on, buddy.",بیا رفیق,زود باش رفیق
98,you need this to happen,تو خودت از هر کس دیگه‌ای,برای رفع هیجان از هر کس دیگری
99,then we'll divide into teams.,بعدش تیم‌بندی می‌کنیم,بعد از آن تیم بندی می کنیم
100,"ever since you got struck by lightning, you're no fun.",از وقتی رعد و برق بهت خورده دیگه اهل حال نیستی,از زمانی که گودالی از برق و برق غذا خورده برای زندگی
101,i've been wondering what you want me to do with all this stuff.,نمی‌دونستم می‌خوای با اینا چی کار کنم,نباید بدونم که می خواهم با این قضیه چکار کنم
102,sully! sully! - sully!,سالی، سالی,سالی، سالی
103,damn. dandelion girl was right.,لعنت بهش دختر قاصدکی درست می‌گفت,دختر قاضی کوچک بدون شک می گویم:
104,and practice like we've never practiced before.,و به روشی بی‌سابقه تمرین کنیم,و در روش های بیسابقه ای برای ورزش ادامه می دهیم
105,everything is beautiful!,همه‌چیز قشنگه,همه چیز مرتب است
106,then you must make your curse your gift.,پس باید نفرینت رو تبدیل به موهبتت کنی,پس باید نشانه ی نفرت به صورت نشانه ی
107,that's not good.,این خوب نیست,این خوب نیست
108,let's get these memories downstairs.,بیاید این خاطرات رو بندازیم طبقه پایین,حالا این خاطرات را به طبقه پایین می بندیم
109,"so dad could pursue his dreams, and i can't?",پس بابا توانست بره دنبال رویاهایش اما من نمیتونم؟,پس پدر توانست به دنبال نقشه ها برود اما من نمی توانم
110,excuse us. -hey! you can't use that.,با عرض پوزش - هی، حق استفاده ازش رو ندارید -,با اظهار وجد و شعف - هی، حق استفاده از او را
111,but now we have a way to fight back.,اما الان یه راهی برای مقابله باهاش داریم,اما اینک راهی برای مقابله با آن ها هست.
112,"i'm, look, i'm so.",…من,من ...
113,you can't say that.,نمیتونی این رو بگی,نباید این کار را بکنیم،
114,i'm taking the baby.,بچه رو می‌برم,بچه ها را می برم
115,it's got to be absolutely perfect.,باید دقیق دقیق باشه,باید دقيق و دقيق باشد
116,in theory.,از لحاظ تیوری,از لحاظ تیوری
117,"come on, it's okay.",حالا چیزی نیست,حالا دیگر چیزی نیست
118,i got my hands on a few prototypes.,یه چندتا نمونه اولیه‌اش رو گیر اوردم,یک نمونه اولیه او را نگه می دارد
