,en_text,fa_text,T5_translation
0,how about a librarian? they're cool.,نظرت درمورد کتابدار چیه؟ خیلی خوبن,نظریه در مورد کتابدار چیه؟ خیلی خوبه؟
1,"i'm sorry miss kamen, but i can't do that.",خانم کمین ببخشید ولی نمیشه,خانم کوین، ببخشید، ولی ممکنه
2,cloud microphysics. - guys.,میکروفیزیک ابر - بچه‌ها -,چشمه ی سمی سکو - بچه ها -
3,they're skating. - and someone complained?,- اونا اسکیت بازی میکنن - و کسی شکایت کرده؟,- اونا بازی اسکیت را شروع می کنند؟ - و کس دیگری شکست خورده؟
4,can you tell me what's going on?,میشه بهم بگی چه خبره؟,ایا باید به گم گیو چه خبره؟
5,just keep the baby instead?,بچه رو به جاش نگه دارم؟,بچه رو به جاش ببر ؟
6,let's get our data.,بریم داده‌هامون رو جمع کنیم,بریم داده هامون رو جمع کنیم
7,"it's been fun though, right?",ولی خوش گذشت. نه؟,ولی خوشحالم که باید سفر کنم نه؟
8,grapefruit!,! گریپ‌فروت‌ه,گریپ فرویت
9,of course.,حتما,حتما
10,"well, they use the earth portal.",خب، از پورتال (= دروازه) زمینی استفاده میکنن,خوب، از دفتر مرکزی یعنی درویدا، زمین از طرف مرکزی استفاده می کند
11,"dad, i don't wanna go.",بابا، نمیخوام برم,بابا، نمی خوام برم
12,and we look stupid.,و ما مثل احمق‌ها جلوه می‌کنیم,و ما مثل احمقها از اینجا جلو میریم
13,your purposes. your meanings of life. so basic.,هدف تو، معنی زندگیته خیلی ساده,هدف تو، یعنی زندگی خیلی ساده است
14,"kate, this is... this is marshall riggs.",کیت، ایشون …ایشون مارشال ریگز هستن,کیسه، اونها ... اوون مارشال ریف اهل دنیاست
15,whoa! hey!,اوه، هی,اه، هی
16,where? - fox crest condo complex. it's really good money.,کجا؟ - «مجتمع» فاکس کریستی کوندو- واقعا پول خوبی معدن,کجا؟ - «مجتمع» - «فاکس کریسی کودو - واقعا معدن خوبی است
17,"keep going! all right, you got her?",! برید - خیلی‌خب، گرفتیش؟ -,برید - خیلی خب، گرفتوش؟ -
18,this is a piece of chandelier. this is a crystal.,. این یه قسمت از لوستره این یه کریستاله,این قسمتی از لوتراس این قسمت از سیرتا است
