en_text,fa_text
how may i direct your call?,با چه کسی کار دارید؟
that's fancy.,باحاله
"i usually cut the grass about once a week, every 10 days.",معمولا علف‌ها رو حدود هر هفته یکبار کوتاه می‌کنم؛ ۱۰ روز یکبار
she's just as fucked up as this motherfucker was.,اونم وضعش مثل این حرومی تخمی بود
"okay. let it go, buddy.",خیلی‌خب، رهایش کن رفیق
"these things can be disrupted,",گردباد رو می‌شه مختل کرد
remain calm. stick to the prepared script.,خونسردی‌تون رو حفظ کنید و طبق متن اماده‌شده پیش بروید
"but when that joy becomes an obsession, one becomes disconnected from life.",اما وقتی اون شادی تبدیل به وسواس بشه ارتباطشون با زندگی قطع میشه
"i mean, why else would she be back",و گرنه چرا باید از بین این همه‌جا
keep moving or die.,. ادامه پیدا میکنن یا میمیرن
the... the polyacrylate should be active now.,پلیمر اکریلات تا الان باید فعال می‌شد
and you're the only person that can get me,و تو تنها کسی هستی که …می‌تونه من رو به‌اندازه کافی
ow!,! ای
"jesus christ, you fucking amateurs!",ای خدا از دست شما نبود‌ها
i'm a good person.,من ادم خوبی‌ام
"oh, my god. [ mel ] i'm gonna lose my job.",". اوه,خدا من -. من شغلمو از دست میدم -"
"wait, where's family island?",وایسا ببینم، جزیره خانواده کو؟
i'm not happy.,من خوشحال نیستم
i'm supposed to believe,بعد باید باور کنم که
you know he mr close-but-no-cigar.,این اقای شکست‌خورده رو که می‌شناسی
it's like nine-something an hour.,ببخشید، میشه بگم، چی داری بلغور می‌کنی تو؟ تقریبا ساعتی دور و بر ۹ دلار ه …میدونی حداقل دستمزد ۸ ٫ ۲۵ دلار ه …خب این دیگه دقیقا
"okay, ladies. let's all settle in.",خیلی‌خب خانم‌ها، بفرمایید بشینید
coach writes about it in her notebook.,و مربیش توی دفترچه‌ش می‌نویستش
"oh, no, no, no.",اوه، نه، نه، نه
we're gonna be in here forever.,دیگه تا ابد اینجاییم
joy doesn't get it.,شادی درک نمی‌کنه
different reagents to enhance it.,از مواد مختلف برای تقویتش استفاده کنیم
no. i hate it here.,. نه. من اینجا متنفرم
every possible mistake she could make.,هر اشتباهی که ممکنه پیش بیاد رو ترسیم کنید
really? nothin' at all? - eh.,واقعا؟، هیچی؟
"and some cunt just sat over there in her chair,",…و بعضی کسکش‌ها هم اونجا رو صندلیشون نشسته بودن …
no!,نه
but i'm still here.,اما من هنوز اینجام
"all right. okay, little man.",خیلی خب. کوچولو
glad to have her on our team.,خوش‌حالم که توی تیم‌مون داریمش
locker rooms are places of mutual respect.,توی اتاق‌های رختکن، احترام متقابل برقرار
what? i would have to tell.,چی؟ من باید بگم
you were right. these pants are loosening.,حق با تو بود شلوار جا باز میکنه
what the?,چی چی؟
what others?,کدوم بقیه؟
"so, anytime a new building goes up,",پس هر وقت که یه ساختمون …جدید ساخته می‌شه
"all right, remember,",خیلی خب یادت باشه
i'm not good enough.,به اندازه کافی خوب نیستم
just make her do it.,اون رو تنبیه کن خب
are we in the tornado?,الان توی گردباد هستیم؟
"kate, it worked.",کیت، جواب داد
most of the properties are underinsured,…اکثر ملک‌ها یا بیمه‌شون ناقص‌ه
it would be if you were a cop.,اگه پلیس بودی اره
you heard what they said.,شنیدی که چی گفتن
you tell me.,تو بگو
she's super smart.,به‌شدت باهوشه
"that was amazing, kate. how did you even know that?",کارت حرف نداشت کیت از کجا فهمیدی؟
i'll clear it out for you tomorrow.,فردا برات مرتبش می‌کنم
"oh, yes. thank you. - yes, cathy. yes.",اوه اره، ممنون - اره کتی، ایول -
what is that?,این چیه؟
[ mel ] we're not talking about that.,نه، نه، نه، نه …مال یکیو درباره‌ی اون حرف نمی‌زنیم متاسفم که بحثش رو وسط کشیدم که اون پشت بود؟
but she loves get up and glow.,ولی اون عاشق این بنده
"damn, tyler's on it.",گندش بزنن تایلر هم فهمید
my body is in a trance in palawan.,بدن من توی کما توی پالاوان «یه (جزیره‌ای در فیلیپین)»
"hell. - hell, hell, hell.",جهنم جهنم، جهنم، جهنم
come on. we just need to cut through...,…بالا، فقط باید از
you don't get to choose who riley is.,تو نمی‌تونی هویت ریالی رو تعیین کنی
"look, obviously this... - shh!",…ببین مسلما این - شش -
did you hear that?,شنیدی؟
i-- hey. hey.,من …هی. هی
"it's, uh, it's been a while.",خیلی وقته این کار رو نکردم
"well, aren't you an arrogant one?",خب، یکم مغرور و گستاخ نیستی؟
"exactly. yes. well, that's why i hired you.",دقیقا، اره خوب این دلیلیه که من بخاطرش استخدام کردم
"with that devil, i will fucking end you.",دخیل کرده باشی میکشمت
"todd, i'm 29. that's a fact. hey, hey, hey.",تاد «۲۹ سال مه» این یه حقیقته هی، هی، هی
i have a gig tonight. i can't die now.,من امشب یه اجرا دارم نمیتونم الان بمیرم
hey!,سلام
he knows now.,الان میدونه
"five minutes, then we're loading up.",پنج دقیقه دیگه راه می‌افتیم
i don't like jazz.,از جز (سبک موسیقی) خوشم نمیاد
it's okay. i already did.,مشکلی نیست قبلا هم اینکارو کردم
or burn it to the ground or anything.,یا اتیشش بزنم
who was recently awarded a nobel prize.,کسی که اخیرا برنده جایزه نوبل شده
attaboy.,افرین
aaron.,«ارون»
you'll do great. just be yourself.,می‌ترکونی. فقط خودت باش
i was all over them in middle school.,راهنمایی که بودم، خیلی باهاشون حال می‌کردم
to get your souls back where they belong.,اینه که روحت رو برگردونیم به جایی که تعلق داره
talk to us.,چی کار کنیم؟
"boy, are we so lucky",پسر، خیلی خوش‌شانسیم که
a mom watching her kid here.,یه مامانی که مراقب بچه
what'd you say?,چی گفتی؟
sorry. - you told me you'd try.,معذرت میخوام - تو گفتی سعیت رو می‌کنی -
val is our future.,وال اینده‌ی ماست
"i said, get out of here! go!",! گفت برگرد سر کارت! برو
"yeah, how are you paying for all this?",اره، پول اینا رو چطور دادی؟
riley hits the puck into her own net.,رایلی، گل به خودی می‌زنه
really? - tetris.,واقعا؟ - تتریس -
i'm gonna get blamed for this.,منو برای اینکار مقصر میدونن
'cause i don't know.,. چونکه من نمیدونم
"wait a minute, that's not how i remember it going down.",یه لحظه صبرکن این اونجوری نیست که من یادمه
i didn't. i just let out the me.,نمیدونستم گذاشتم از درون بیاد بیرون
"all right, what's up, chat?",خیلی‌خب، چه خبر بچه‌ها؟
shoot. - yikes.,- گندش بزنن - وای
okay? i've never done that up until this point. okay? never.,. خب؟ من دیگه هیچوقت اونکارو نمی‌کنم. خب؟ هیچوقت
we had a great time.,بهمون خوش گذشت
just wait.,صبرکن
i don't want to drive.,من نمی‌خواهم بیام بیرون
"that's, uh, that's great news.",این واقعا خبر عالیه
fuck you think you're going?,کدوم گوری میری؟
meh.,نه
i'll get a coffee.,میرم قهوه بگیرم
she's with a witness that i picked up this morning.,با یه شاهده که امروز صبح برداشتم
get off of me.,ولم کن
"javi, get up. come on.",خاوی، بلند شو زودباش
"i bet anxiety would know how long, down to the minute.",شرط می‌بندم اگه اضطراب بود می‌دونست که کی می‌رسیم. حتی دقیقه‌ش هم حساب می‌کرد
tyler!,! تایلر
"well, then we should go. wow.",خب، پس باید بریم وواوو
"all right, let's.",خیلی خب
"we can't take the tube back, joy.",نمی‌تونیم لوله رو برگردونیم، شادی
"then, uh, try picking up a hobby.",خوب سعی کن یه تفریح انجام بدی
all right? - okay.,باشه؟ - باشه -
"all right, all right, easy.",خیلی خوب اروم باشین
we need a lot of it...,…که خیلی زیاد هم ازش نیاز داریم
thanks.,. ممنون
"sadness, do you copy?",غم، صدام رو می‌شنوی؟
psst.,پیست
nothing. i just need to fill out that last box. i give up.,هیچی، فقط باید جای خالی رو پر کنم من تسلیم میشم
"heck, i'm overdue.",لعنتی من کامل از دست رفته‌ام
welcome to the you seminar.,به «یو سمینار» خوش اومدی
"since you don't wanna give the money up,",اگه نمیخوای پول رو بدی
"yeah, me too. yeah, i don't give a shit.",اره، منم همینطور- من اصلا اهمیت نمیدم-
